province,date_recovered,recovered
Alberta,13-02-2020,0
Alberta,14-02-2020,0
Alberta,15-02-2020,0
Alberta,16-02-2020,0
Alberta,17-02-2020,0
Alberta,18-02-2020,0
Alberta,19-02-2020,0
Alberta,20-02-2020,0
Alberta,21-02-2020,0
Alberta,22-02-2020,0
Alberta,23-02-2020,0
Alberta,24-02-2020,0
Alberta,25-02-2020,0
Alberta,26-02-2020,0
Alberta,27-02-2020,0
Alberta,28-02-2020,0
Alberta,29-02-2020,0
Alberta,1/3/2020,0
Alberta,2/3/2020,0
Alberta,3/3/2020,0
Alberta,4/3/2020,0
Alberta,5/3/2020,0
Alberta,6/3/2020,0
Alberta,7/3/2020,0
Alberta,8/3/2020,0
Alberta,9/3/2020,0
Alberta,10/3/2020,0
Alberta,11/3/2020,0
Alberta,12/3/2020,0
Alberta,13-03-2020,0
Alberta,14-03-2020,0
Alberta,15-03-2020,0
Alberta,16-03-2020,0
Alberta,17-03-2020,0
Alberta,18-03-2020,0
Alberta,19-03-2020,2
Alberta,20-03-2020,1
Alberta,21-03-2020,0
Alberta,22-03-2020,0
Alberta,23-03-2020,0
Alberta,24-03-2020,0
Alberta,25-03-2020,0
Alberta,26-03-2020,24
Alberta,27-03-2020,6
Alberta,28-03-2020,20
Alberta,29-03-2020,20
Alberta,30-03-2020,21
Alberta,31-03-2020,26
Alberta,1/4/2020,22
Alberta,2/4/2020,32
Alberta,3/4/2020,22
Alberta,4/4/2020,0
Alberta,5/4/2020,83
Alberta,6/4/2020,82
Alberta,7/4/2020,86
Alberta,8/4/2020,72
Alberta,9/4/2020,73
Alberta,10/4/2020,121
Alberta,11/4/2020,61
Alberta,12/4/2020,49
Alberta,13-04-2020,54
Alberta,14-04-2020,37
Alberta,15-04-2020,0
Alberta,16-04-2020,0
Alberta,17-04-2020,210
Alberta,18-04-2020,38
Alberta,19-04-2020,36
Alberta,20-04-2020,32
Alberta,21-04-2020,43
Alberta,22-04-2020,37
Alberta,23-04-2020,47
Alberta,24-04-2020,40
Alberta,25-04-2020,74
Alberta,26-04-2020,78
Alberta,27-04-2020,115
Alberta,28-04-2020,136
Alberta,29-04-2020,153
Alberta,30-04-2020,208
Alberta,1/5/2020,198
Alberta,2/5/2020,175
Alberta,3/5/2020,179
Alberta,4/5/2020,229
Alberta,5/5/2020,277
Alberta,6/5/2020,333
Alberta,7/5/2020,257
Alberta,8/5/2020,211
Alberta,9/5/2020,184
Alberta,10/5/2020,185
Alberta,11/5/2020,270
Alberta,12/5/2020,207
Alberta,13-05-2020,210
Alberta,14-05-2020,129
